ID,C_SWIFT_C,CLASS_ID
140219997236,BLOPIT2263V,CL_BANK_F
140219997286,BLOPIT2263W,CL_BANK_F
140219997336,BLOPIT2263X,CL_BANK_F
140219997386,BLOPIT22640,CL_BANK_F
140219997436,BLOPIT22641,CL_BANK_F
140219997486,BLOPIT22642,CL_BANK_F
140219997536,BLOPIT22644,CL_BANK_F
140219997586,BLOPIT22645,CL_BANK_F
140219997636,BLOPIT22647,CL_BANK_F
140219997686,BLOPIT22648,CL_BANK_F
140219997736,BLOPIT2264A,CL_BANK_F
140219997786,BLOPIT2264Y,CL_BANK_F
140219997836,BLOPIT2264Z,CL_BANK_F
140219997886,BLOPIT22651,CL_BANK_F
140219997936,BLOPIT22653,CL_BANK_F
140219997986,BLOPIT22655,CL_BANK_F
140219998036,BLOPIT22656,CL_BANK_F
140219998086,BLOPIT22657,CL_BANK_F
140219998136,BLOPIT22659,CL_BANK_F
140219998186,BLOPIT2265B,CL_BANK_F
140219998236,BLOPIT2265C,CL_BANK_F
140219998286,BLOPIT2265D,CL_BANK_F
140219998336,BLOPIT2265E,CL_BANK_F
140219998386,BLOPIT22660,CL_BANK_F
140219998436,BLOPIT22661,CL_BANK_F
140219998486,BLOPIT22664,CL_BANK_F
140219998536,BLOPIT22666,CL_BANK_F
140219998586,BLOPIT22667,CL_BANK_F
140219998636,BLOPIT22669,CL_BANK_F
140219998686,BLOPIT2266F,CL_BANK_F
140219998736,BLOPIT2266G,CL_BANK_F
140219998786,BLOPIT2266H,CL_BANK_F
140219998836,BLOPIT2266I,CL_BANK_F
140219998886,BLOPIT22673,CL_BANK_F
140219998936,BLOPIT22676,CL_BANK_F
140219998986,BLOPIT2267J,CL_BANK_F
140219999036,BLOPIT2267K,CL_BANK_F
140219999086,BLOPIT2267L,CL_BANK_F
140219999136,BLOPIT2267M,CL_BANK_F
140219999186,BLOPIT2267N,CL_BANK_F
140219999236,BLOPIT2267O,CL_BANK_F
140219999286,BLOPIT2267P,CL_BANK_F
140219999336,BLOPIT2267Q,CL_BANK_F
140219999386,BLOPIT2268A,CL_BANK_F
140219999436,BLOPIT2268R,CL_BANK_F
140219999486,BLOPIT2268S,CL_BANK_F
140219999536,BLOPIT2268T,CL_BANK_F
140219999586,BLOPIT2268U,CL_BANK_F
140219999636,BLOPIT2268V,CL_BANK_F
140219999686,BLOPIT2268W,CL_BANK_F
140219999736,BLOPIT2268X,CL_BANK_F
140219999786,BLOPIT2268Y,CL_BANK_F
140219974636,BLOPIT22013,CL_BANK_F
140219974686,BLOPIT22014,CL_BANK_F
140219974736,BLOPIT22015,CL_BANK_F
140219974786,BLOPIT22016,CL_BANK_F
140219974836,BLOPIT22017,CL_BANK_F
140219974886,BLOPIT22018,CL_BANK_F
140219974936,BLOPIT22019,CL_BANK_F
140219974986,BLOPIT22020,CL_BANK_F
140219975036,BLOPIT22021,CL_BANK_F
140219975086,BLOPIT22022,CL_BANK_F
140219975136,BLOPIT22023,CL_BANK_F
140219975186,BLOPIT22024,CL_BANK_F
140219975236,BLOPIT22025,CL_BANK_F
140219975286,BLOPIT22026,CL_BANK_F
140219975336,BLOPIT22027,CL_BANK_F
140219975386,BLOPIT22028,CL_BANK_F
140219975436,BLOPIT22029,CL_BANK_F
140219975486,BLOPIT22030,CL_BANK_F
140219975536,BLOPIT22031,CL_BANK_F
140219975586,BLOPIT22032,CL_BANK_F
140219975636,BLOPIT22033,CL_BANK_F
140219975686,BLOPIT22034,CL_BANK_F
140219975736,BLOPIT22035,CL_BANK_F
140219975786,BLOPIT22036,CL_BANK_F
140219975836,BLOPIT22037,CL_BANK_F
140219975886,BLOPIT22038,CL_BANK_F
